Title,Latitude,Longitude,Business Type,City,Note: Only showing foreign investors.
MZ Architects,33.98402387,35.61962201,Architecture Firm,Eko Atlantic,
BNP Paribas Fortis,50.8455853,4.360696934,Bank,Eko Atlantic,
KBC Bank,50.86006932,4.346058376,Bank (Real Estate),Eko Atlantic,
Dar Al-Handasah,33.88708547,35.48363565,Consulting Firm (Property Development),"Eko Atlantic, Konza Technopolis",
Royal HaskoningDHV,52.13346267,5.36768152,Consulting Firm (Engineering),Eko Atlantic,
China Communications Construction Group,39.95406337,116.3788435,Construction Company,Eko Atlantic,
Dredging International,51.24797999,4.309989621,Marine/Waterways Contractor,Eko Atlantic,
Bakri & Associates Development Consultants,25.07771387,55.15361668,Architecture Firm,Akoncity,
KE International,39.74574129,-75.54830868,Engineering/Infrastructure Consulting Firm,Akoncity,
Arup,51.5217108,-0.137965544,Engineering/Infrastructure Firm,Centenary City,
Eagle Hills Properties,24.41865172,54.4345128,Real Estate Investment/Development,Centenary City,
AS+P,50.09831141,8.68190107,Architecture Firm,Centenary City,
Arkitektstudio,19.40939442,-99.17386676,Architecture firm,Centenary City,
Semer Group,25.1879527,55.26700524,Investment/Development firm,Diamniado Lake City,
Shelter Afrique,-1.299635279,36.81455282,Real Estate Investment/Development,Diamniado Lake City,
"HR& Advisors, Inc.",40.71917315,-74.00905453,Real Estate Investment/Development,Konza Technopolis,
SHoP Architects,40.71253056,-74.00796187,Architecture Firm,Konza Technopolis,
Dalberg Global Development Advisors,40.74406322,-73.99465475,Policy Advisory Firm,Konza Technopolis,
OZ Architecture,39.76283821,-104.9803707,Design Firm,Konza Technopolis,
Tetra Tech,34.15081048,-118.0781463,Engineering Firm,Konza Technopolis,
International Finance Corporation (IFC),38.90225188,-77.04759331,Financial Institution,Konza Technopolis,
Rendeavour,51.49311106,-0.166757855,Real Estate Investment/Development,"Alaro City, King City, Tatu City, Appolonia, Jigna, Kiswishi, Roma Park",
"Skidmore, Owings & Merrill",41.87877206,-87.62498517,Architecture Firm,Alaro City,
